school,mascot,abbreviation,conference,logo,color,alt_color
North Carolina Central,Eagles,NCCU,MEAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2428.png,#880023,
North Carolina Wesleyan,Battling Bishops,NORTH,USA South,http://a.espncdn.com/i/teamlogos/ncaa/500/286.png,#null,
North Central College,Cardinals,NCC,CCIW,http://a.espncdn.com/i/teamlogos/ncaa/500/3071.png,#null,
North Dakota,Fighting Hawks,UND,MVFC,http://a.espncdn.com/i/teamlogos/ncaa/500/155.png,#00A26B,
North Dakota State,Bison,NDSU,MVFC,http://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,#01402A,
Northeastern State,RiverHawks,NOR,Independent DII,http://a.espncdn.com/i/teamlogos/ncaa/500/196.png,#null,
Northern Arizona,Lumberjacks,NAU,Big Sky,http://a.espncdn.com/i/teamlogos/ncaa/500/2464.png,#003976,
Northern Colorado,Bears,UNCO,Big Sky,http://a.espncdn.com/i/teamlogos/ncaa/500/2458.png,#13558D,
Northern Illinois,Huskies,NIU,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,#F1122C,
Northern Iowa,Panthers,UNI,MVFC,http://a.espncdn.com/i/teamlogos/ncaa/500/2460.png,#473282,
Northern Michigan,Wildcats,NMI,GLIAC,http://a.espncdn.com/i/teamlogos/ncaa/500/128.png,#null,
Northern State,Wolves,NOR,Northern Sun,http://a.espncdn.com/i/teamlogos/ncaa/500/425.png,#null,
NORTH FLORIDA,STARS,UNF,,,#000000,
North Greenville,Crusaders,NG,Gulf South,http://a.espncdn.com/i/teamlogos/ncaa/500/2822.png,#d91e39,
North Park,Vikings,NOR,CCIW,http://a.espncdn.com/i/teamlogos/ncaa/500/75.png,#null,
North Texas,Mean Green,UNT,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png,#00853E,
Northwestern,Wildcats,NU,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png,#582c83,
Northwestern (IA),Red Raiders,NAD,,,#null,
Northwestern (MN),Eagles,NWMN,Upper Midwest,http://a.espncdn.com/i/teamlogos/ncaa/500/583.png,#null,
Northwestern Oklahoma State,Rangers,NWO,Great American,http://a.espncdn.com/i/teamlogos/ncaa/500/2823.png,#null,
Northwestern State,Demons,NWST,Southland,http://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,#492F91,
Northwest Mississippi C.C.,,,,,#null,
Northwest Missouri St,Bearcats,NWMS,Mid America,http://a.espncdn.com/i/teamlogos/ncaa/500/138.png,#null,
Northwood (MI),Timberwolves,NAR,Great Midwest Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2886.png,#null,
Norwich,Cadets,NOR,NEWMAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2467.png,#null,
Notre Dame,Fighting Irish,ND,FBS Independents,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png,#0c2340,
Notre Dame College,Blue Falcons,NOT,Mountain East,http://a.espncdn.com/i/teamlogos/ncaa/500/587.png,#000000,
Oberlin,Yeomen,OBERLIN,North Coast,http://a.espncdn.com/i/teamlogos/ncaa/500/391.png,#null,
Occidental,Tigers,OCC,So. Cal.,http://a.espncdn.com/i/teamlogos/ncaa/500/2475.png,#000000,
Ohio,Bobcats,OHIO,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png,#295A29,
Ohio Dominican,Panthers,,Great Midwest Athletic,,#null,
Ohio Midwestern College,Rams,OMW,,,#null,
Ohio Northern,Polar Bears,OHNRTH,Ohio,http://a.espncdn.com/i/teamlogos/ncaa/500/427.png,#null,
Ohio State,Buckeyes,OSU,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png,#ce1141,
Ohio State Newark,Titans,OSU,,http://a.espncdn.com/i/teamlogos/ncaa/500/3161.png,#null,
Ohio Wesleyan,Battling Bishops,OHWESL,North Coast,http://a.espncdn.com/i/teamlogos/ncaa/500/2980.png,#null,
Oklahoma,Sooners,OU,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png,#a32036,
Oklahoma Baptist,Bison,OB,Great American,http://a.espncdn.com/i/teamlogos/ncaa/500/319.png,#null,
Oklahoma Panhandle St,Ok Panhandle St,OKLAH,Independent DII,http://a.espncdn.com/i/teamlogos/ncaa/500/2824.png,#null,
Oklahoma State,Cowboys,OKST,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png,#FF7300,
Old Dominion,Monarchs,ODU,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/295.png,#00507d,
Ole Miss,Rebels,MISS,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png,#13294b,
Olivet College,Comets,OLI,Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/354.png,#null,
Oregon,Ducks,ORE,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,#007030,
Oregon State,Beavers,ORST,Pac-12,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png,#231f20,
Ottawa University Arizona,Spirit,OUAZ,,,#null,
Otterbein,Cardinals,OTT,Ohio,http://a.espncdn.com/i/teamlogos/ncaa/500/359.png,#null,
Ouachita Baptist,Tigers,OUA,Great American,http://a.espncdn.com/i/teamlogos/ncaa/500/2888.png,#null,
Ouachita Baptist University,,,,,#null,
Pace,Setters,PAC,Northeast 10,http://a.espncdn.com/i/teamlogos/ncaa/500/2487.png,#null,
Pacific Lutheran,Lutes,PACLTH,Northwest,http://a.espncdn.com/i/teamlogos/ncaa/500/2486.png,#ffc423,
Pacific (OR),Boxers,PAC,Northwest,http://a.espncdn.com/i/teamlogos/ncaa/500/205.png,#b4183a,
Paine,Lions,PC,,,#null,
Palomar College,,,,,#null,
Penn State,Nittany Lions,PSU,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png,#041E42,
Pennsylvania,Quakers,PENN,Ivy,http://a.espncdn.com/i/teamlogos/ncaa/500/219.png,#082A74,
PennWest California,Vulcans,PWC,Pennsylvania State Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2858.png,#null,
Phoenix,Firestorm,AZCHR,,,#null,
Pikeville,Bears,PIKEV,,http://a.espncdn.com/i/teamlogos/ncaa/500/95.png,#null,
Pittsburgh,Panthers,PITT,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png,#003263,
Pittsburg St,Gorillas,PIT,Mid America,http://a.espncdn.com/i/teamlogos/ncaa/500/90.png,#null,
Plymouth State,Panthers,PLYST,MSCAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2972.png,#054e39,
Point University,Skyhawks,POINT,,http://a.espncdn.com/i/teamlogos/ncaa/500/3179.png,#null,
Pomona Pitzer,Sagehens,POM,So. Cal.,http://a.espncdn.com/i/teamlogos/ncaa/500/2923.png,#00549a,
Portland State,Vikings,PRST,Big Sky,http://a.espncdn.com/i/teamlogos/ncaa/500/2502.png,#00311e,
Post University,Eagles,POS,Northeast 10,,#null,
Prairie View A&M,Panthers,PV,SWAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2504.png,#4d0960,
Presbyterian,Blue Hose,PRES,Pioneer,http://a.espncdn.com/i/teamlogos/ncaa/500/2506.png,#194896,
Presentation,Presentation,PRE,,http://a.espncdn.com/i/teamlogos/ncaa/500/597.png,#null,
Princeton,Tigers,PRIN,Ivy,http://a.espncdn.com/i/teamlogos/ncaa/500/163.png,#null,
Principia College,Panthers,PRI,,http://a.espncdn.com/i/teamlogos/ncaa/500/363.png,#000000,
Professional,,,,,#null,
Professional,,,,,#null,
Puget Sound,Loggers,PUGET,Northwest,http://a.espncdn.com/i/teamlogos/ncaa/500/2508.png,#680001,
Purdue,Boilermakers,PUR,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,#000000,
Quincy,Hawks,QUI,Great Lakes,http://a.espncdn.com/i/teamlogos/ncaa/500/2825.png,#null,
Randolph-Macon,Yellow Jackets,RAN,Old Dominion,http://a.espncdn.com/i/teamlogos/ncaa/500/2516.png,#fcdf12,
Reading,Golden Wolves,ALVERNIA,Mid Atlantic,,#null,
Redlands,Bulldogs,RED,So. Cal.,http://a.espncdn.com/i/teamlogos/ncaa/500/29.png,#751708,
Reinhardt University,Eagles,REIN,,http://a.espncdn.com/i/teamlogos/ncaa/500/2890.png,#null,
Rensselaer,Engineers,RPI,Liberty League,http://a.espncdn.com/i/teamlogos/ncaa/500/2528.png,#null,
Rhode Island,Rams,URI,CAA,http://a.espncdn.com/i/teamlogos/ncaa/500/227.png,#091f3f,
Rhodes College,Lynx,RHO,Southern Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2519.png,#null,
Rice,Owls,RICE,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/242.png,#d1d5d8,
Richmond,Spiders,RICH,Patriot,http://a.espncdn.com/i/teamlogos/ncaa/500/257.png,#9e0712,
Ripon,Red Hawks,RIP,Midwest,http://a.espncdn.com/i/teamlogos/ncaa/500/2891.png,#null,
Riverside C.C.,,,,,#null,
Roanoke College,Maroons,ROA,,,#null,
Robert Morris,Colonials,RMU,NEC,http://a.espncdn.com/i/teamlogos/ncaa/500/2523.png,#00214D,
Robert Morris University-Illinois,Lakers,ROOSE,,http://a.espncdn.com/i/teamlogos/ncaa/500/599.png,#null,
Rockford,Regents,ROCKF,NACC,http://a.espncdn.com/i/teamlogos/ncaa/500/2524.png,#5a3f99,
Roosevelt,Lakers,ROO,GLIAC,,#null,
Rose-Hulman,Fightin' Engineers,ROSEHUL,Heartland,http://a.espncdn.com/i/teamlogos/ncaa/500/86.png,#800000,
Rowan,Profs,ROW,New Jersey,http://a.espncdn.com/i/teamlogos/ncaa/500/2827.png,#571b04,
Rutgers,Scarlet Knights,RUTG,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png,#d21034,
Sacramento State,Hornets,SAC,Big Sky,http://a.espncdn.com/i/teamlogos/ncaa/500/16.png,#00573C,
Sacred Heart,Pioneers,SHU,FCS Independents,http://a.espncdn.com/i/teamlogos/ncaa/500/2529.png,#a40012,
Saddleback College,,,,,#null,
Saginaw Valley State,Cardinals,SAGI,GLIAC,http://a.espncdn.com/i/teamlogos/ncaa/500/129.png,#null,
Saint Anselm,,,,,#null,
Saint Francis,,,,,#null,
Saint Francis (PA),,,,,#null,
Saint John's (MN),Johnnies,ST. J,Minnesota,http://a.espncdn.com/i/teamlogos/ncaa/500/2600.png,#ce153e,
Saint Vincent,Bearcats,STV,Presidents',http://a.espncdn.com/i/teamlogos/ncaa/500/2614.png,#null,
Salisbury,Sea Gulls,SALIS,New Jersey,http://a.espncdn.com/i/teamlogos/ncaa/500/2532.png,#8b0e04,
Salve Regina,Seahawks,SALVE,NEWMAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2776.png,#null,
Samford,Bulldogs,SAM,Southern,http://a.espncdn.com/i/teamlogos/ncaa/500/2535.png,#005485,
Sam Houston,Bearkats,SHSU,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,#fe5000,
San Diego,Toreros,USD,Pioneer,http://a.espncdn.com/i/teamlogos/ncaa/500/301.png,#2f99d4,
San Diego State,Aztecs,SDSU,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png,#c41230,
San José State,Spartans,SJSU,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/23.png,#005893,
Santa Rosa J.C.,,,,,#null,
Savannah St,Tigers,SAV,SIAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2542.png,#280298,
SE Louisiana,Lions,SELA,Southland,http://a.espncdn.com/i/teamlogos/ncaa/500/2545.png,#215732,
Seton Hill,Griffins,SETONHILL,Pennsylvania State Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/611.png,#null,
Sewanee,Tigers,SEWAN,Southern Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2553.png,#null,
Shaw,Bears,SHAW,CIAA,http://a.espncdn.com/i/teamlogos/ncaa/500/2551.png,#null,
Shenandoah,Hornets,SHENAN,Old Dominion,http://a.espncdn.com/i/teamlogos/ncaa/500/2828.png,#null,
Shepherd,Rams,SHE,Pennsylvania State Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2974.png,#null,
Shepherd Tech,Eagles,STC,,http://a.espncdn.com/i/teamlogos/ncaa/500/3181.png,#000000,
Shepherd University,,,,,#null,
Shippensburg,Raiders,SHPSBRG,Pennsylvania State Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2559.png,#null,
Shippensburg University,,,,,#null,
Siena,Saints,SIE,,,#null,
Simon Fraser,Clansmen,SIM,Lone Star,http://a.espncdn.com/i/teamlogos/ncaa/500/2829.png,#000000,
Simpson College (IA),Storm,SIMPS,American Rivers,http://a.espncdn.com/i/teamlogos/ncaa/500/2564.png,#b20838,
Simpson University (Ca),Simpuca,,,,#null,
Slippery Rock,The Rock,SRU,Pennsylvania State Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/215.png,#null,
SMU,Mustangs,SMU,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,#354ca1,
Snow College,,,,,#null,
SOUTH,All-Stars,SOU,,,#000000,
South Alabama,Jaguars,USA,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png,#00205B,
South Carolina,Gamecocks,SC,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,#73000a,
South Carolina State,Bulldogs,SCST,MEAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2569.png,#7d1315,
South Dakota,Coyotes,SDAK,MVFC,http://a.espncdn.com/i/teamlogos/ncaa/500/233.png,#CD1241,
South Dakota Mines,Hardrockers,SDMT,Rocky Mountain,http://a.espncdn.com/i/teamlogos/ncaa/500/613.png,#null,
South Dakota State,Jackrabbits,SDST,MVFC,http://a.espncdn.com/i/teamlogos/ncaa/500/2571.png,#0033a0,
Southeastern Louisiana,,,,,#null,
Southeastern Oklahoma State,Savage Storm,SEOS,Great American,http://a.espncdn.com/i/teamlogos/ncaa/500/199.png,#null,
Southeast Missouri State,Redhawks,SEMO,Big South-OVC,http://a.espncdn.com/i/teamlogos/ncaa/500/2546.png,#c8102e,
Southeast Oklahoma State,,,,,#null,
Southern,Jaguars,SOU,SWAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2582.png,#004B97,
Southern Arkansas,Muleriders,SOU,Great American,http://a.espncdn.com/i/teamlogos/ncaa/500/2568.png,#null,
Southern Connecticut State,Owls,SOU,Northeast 10,http://a.espncdn.com/i/teamlogos/ncaa/500/2583.png,#null,
Southern Illinois,Salukis,SIU,MVFC,http://a.espncdn.com/i/teamlogos/ncaa/500/79.png,#85283D,
Southern Miss,Golden Eagles,USM,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,#FFAA3C,
Southern Nazarene,Crimson Storm,STN,Great American,http://a.espncdn.com/i/teamlogos/ncaa/500/200.png,#null,
Southern Oregon,Raiders,SOU,,http://a.espncdn.com/i/teamlogos/ncaa/500/2584.png,#null,
Southern Utah,Thunderbirds,SUU,UAC,http://a.espncdn.com/i/teamlogos/ncaa/500/253.png,#c72026,
Southern Virginia,Knights,SVA,USA South,http://a.espncdn.com/i/teamlogos/ncaa/500/2896.png,#null,
South Florida,Bulls,USF,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/58.png,#004A36,
Southwest Baptist,Bearcats,SWB,Great Lakes,http://a.espncdn.com/i/teamlogos/ncaa/500/2586.png,#null,
Southwestern Assemblies Of God,Lions,NEL,,http://a.espncdn.com/i/teamlogos/ncaa/500/2904.png,#null,
Southwestern College,Moundbuilders,SCKS,,http://a.espncdn.com/i/teamlogos/ncaa/500/616.png,#null,
Southwestern Oklahoma State,Bulldogs,SWO,Great American,http://a.espncdn.com/i/teamlogos/ncaa/500/2927.png,#null,
Southwest Minnesota State,Mustangs,SWMN,Northern Sun,http://a.espncdn.com/i/teamlogos/ncaa/500/2587.png,#null,
Southwest Mississippi C.C.,,,,,#null,
Springfield,Pride,SPR,NEWMAC,http://a.espncdn.com/i/teamlogos/ncaa/500/81.png,#null,
St Ambrose University  Iowa,Fighting Bees,STA,,http://a.espncdn.com/i/teamlogos/ncaa/500/2591.png,#null,
Stanford,Cardinal,STAN,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png,#8c1515,
St. Anselm,Hawks,STA,Northeast 10,http://a.espncdn.com/i/teamlogos/ncaa/500/2830.png,#null,
St. Augustine's,Falcons,STA,CIAA,http://a.espncdn.com/i/teamlogos/ncaa/500/395.png,#000000,
St. Cloud State,Huskies,STC,,http://a.espncdn.com/i/teamlogos/ncaa/500/2594.png,#000000,
Stephen F. Austin,Lumberjacks,SFA,Southland,http://a.espncdn.com/i/teamlogos/ncaa/500/2617.png,#393996,
Sterling College,Sterling Ks,STCKS,,http://a.espncdn.com/i/teamlogos/ncaa/500/618.png,#null,
Stetson,Hatters,STET,Pioneer,http://a.espncdn.com/i/teamlogos/ncaa/500/56.png,#0a5640,
Stevenson,Mustangs,STU,Mid Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/471.png,#005747,
St Francis Illinois,Fighting Saints,SFIL,,http://a.espncdn.com/i/teamlogos/ncaa/500/2595.png,#null,
St. Francis (PA),Red Flash,SFPA,NEC,http://a.espncdn.com/i/teamlogos/ncaa/500/2598.png,#a20012,
Stillman,Tigers,STI,,,#null,
St John Fisher University,Cardinals,SJFISH,Empire 8,http://a.espncdn.com/i/teamlogos/ncaa/500/374.png,#null,
St. Joseph's (IN),Pumas,ST,Great Lakes,,#000000,
St. Lawrence,Saints,USL,Liberty League,http://a.espncdn.com/i/teamlogos/ncaa/500/2779.png,#null,
St. Louis,Spartans,MB,,http://a.espncdn.com/i/teamlogos/ncaa/500/2880.png,#null,
St. Mary's (CA),Gaels,SMC,,,#null,
St. Norbert,Green Knights,STN,NACC,http://a.espncdn.com/i/teamlogos/ncaa/500/2832.png,#null,
St. Olaf,Oles,STO,Minnesota,http://a.espncdn.com/i/teamlogos/ncaa/500/133.png,#null,
Stonehill,Skyhawks,STO,NEC,http://a.espncdn.com/i/teamlogos/ncaa/500/284.png,#null,
Stony Brook,Seawolves,STBK,CAA,http://a.espncdn.com/i/teamlogos/ncaa/500/2619.png,#990000,
St. Paul's College,Tigers,STP,,http://a.espncdn.com/i/teamlogos/ncaa/500/2611.png,#000000,
St. Peter's,Peacocks,SPU,,http://a.espncdn.com/i/teamlogos/ncaa/500/2612.png,#001555,
St. Petersburg,Glory Eagles,UFFL,,http://a.espncdn.com/i/teamlogos/ncaa/500/3254.png,#null,
St. Scholastica,Saints,SCHOLA,Minnesota,http://a.espncdn.com/i/teamlogos/ncaa/500/375.png,#null,
St. Thomas (MN),Tommies,STMN,Pioneer,http://a.espncdn.com/i/teamlogos/ncaa/500/2900.png,#null,
St. Thomas University,,,,,#null,
St. Thomas University (Fl),Stthom,,,,#null,
St. Xavier IL,Cougars,STX,,http://a.espncdn.com/i/teamlogos/ncaa/500/2615.png,#null,
Sul Ross State,Lobos,SROS,Lone Star,http://a.espncdn.com/i/teamlogos/ncaa/500/2834.png,#null,
SUNY Maritime,Privateers,SUNYMAR,NEWMAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2951.png,#null,
SUNY Morrisville,Mustangs,MOR,Empire 8,http://a.espncdn.com/i/teamlogos/ncaa/500/3110.png,#null,
Susquehanna,River Hawks,SUS,Landmark Conference,http://a.espncdn.com/i/teamlogos/ncaa/500/216.png,#6b1a31,
Syracuse,Orange,SYR,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png,#ff6500,
Tarleton State,Texans,TAR,UAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2627.png,#null,
TCU,Horned Frogs,TCU,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,#4d1979,
Temple,Owls,TEM,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png,#A80532,
Tennessee,Volunteers,TENN,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,#ff8200,
Tennessee State,Tigers,TNST,Big South-OVC,http://a.espncdn.com/i/teamlogos/ncaa/500/2634.png,#171796,
Tennessee Tech,Golden Eagles,TNTC,Big South-OVC,http://a.espncdn.com/i/teamlogos/ncaa/500/2635.png,#5A4099,
Texas,Longhorns,TEX,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png,#c15d26,
Texas A&M,Aggies,TA&M,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png,#500000,
Texas A&M-Kingsville,Javelinas,TXA,Lone Star,http://a.espncdn.com/i/teamlogos/ncaa/500/2658.png,#null,
Texas College,Steers,TXCL,,http://a.espncdn.com/i/teamlogos/ncaa/500/2637.png,#null,
Texas Lutheran,Bulldogs,TL,Southern Collegiate Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2639.png,#fdbe10,
Texas-Permian Basin,,,,,#null,
Texas-Rio Grande Valley,,,,,#null,
Texas Southern,Tigers,TXSO,SWAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2640.png,#860038,
Texas State,Bobcats,TXST,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png,#4e1719,
Texas Tech,Red Raiders,TTU,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,#CC0000,
Texas Wesleyan,Rams,TXWE,,,#null,
Thaddeus Stevens,Bulldogs,TSCT,,,#null,
The Citadel,Bulldogs,CIT,Southern,http://a.espncdn.com/i/teamlogos/ncaa/500/2643.png,#002b5c,
Thomas More College,Saints,THMORE,Great Midwest Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2646.png,#null,
Tiffin University,Dragons,TIF,Great Midwest Athletic,,#null,
Toledo,Rockets,TOL,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,#0a2240,
Towson,Tigers,TOW,CAA,http://a.espncdn.com/i/teamlogos/ncaa/500/119.png,#FFC229,
Trine University,Thunder,TRI,Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/2651.png,#null,
Trinity Bible College,Lions,TRINBIB,,http://a.espncdn.com/i/teamlogos/ncaa/500/3214.png,#null,
Trinity (Conn.),,,,,#null,
Trinity (CT),Bantams,TRI,NESCAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2977.png,#032d58,
Trinity (IL),Trojans,TRI,,http://a.espncdn.com/i/teamlogos/ncaa/500/2652.png,#000000,
Trinity University TX,Tigers,TRTX,Southern Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/386.png,#null,
Trinity Valley C.C.,,,,,#null,
Troy,Vikings,HVCC,,,#null,
Troy,Trojans,TROY,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,#AE0210,
Truman State,Bulldogs,TRU,Great Lakes,http://a.espncdn.com/i/teamlogos/ncaa/500/2654.png,#null,
Tufts,Jumbos,TUF,NESCAC,http://a.espncdn.com/i/teamlogos/ncaa/500/112.png,#3e8ede,
Tufts University,,,,,#null,
Tulane,Green Wave,TULN,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,#006547,
Tulsa,Golden Hurricane,TLSA,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png,#003595,
Tuskegee,Golden Tigers,TUS,SIAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2657.png,#null,
Tyler J.C. ,,,,,#null,
UAB,Blazers,UAB,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png,#003b28,
UAlbany,Great Danes,UALB,CAA,http://a.espncdn.com/i/teamlogos/ncaa/500/399.png,#3D2777,
UC Davis,Aggies,UCD,Big Sky,http://a.espncdn.com/i/teamlogos/ncaa/500/302.png,#002855,
UCF,Knights,UCF,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,#ba9b37,
UCLA,Bruins,UCLA,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png,#2774ae,
UConn,Huskies,CONN,FBS Independents,http://a.espncdn.com/i/teamlogos/ncaa/500/41.png,#0c2340,
UFTL,Eagles,UFTL,,,#null,
UL Monroe,Warhawks,ULM,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,#231F20,
UMass Dartmouth,Corsairs,MAS,MSCAC,http://a.espncdn.com/i/teamlogos/ncaa/500/379.png,#null,
UMass Lowell,River Hawks,UML,,http://a.espncdn.com/i/teamlogos/ncaa/500/2349.png,#000000,
UNC Pembroke,Braves,NCPEMB,Mountain East,http://a.espncdn.com/i/teamlogos/ncaa/500/2882.png,#null,
UNC-Pembroke,,,,,#null,
Union (NY),Garnet Chargers,UNNY,Liberty League,http://a.espncdn.com/i/teamlogos/ncaa/500/237.png,#null,
University of Charleston,,,,,#null,
University Of Charleston (WV),Golden Eagles,CHWV,Mountain East,http://a.espncdn.com/i/teamlogos/ncaa/500/2128.png,#null,
University of God's Chosen,Disciples,GDCH,,,#null,
University of Guelph,,,,,#null,
University Of Mexico,Mexico U,UMEX,,,#null,
University of Mount Union,Raiders,MTU,Ohio,http://a.espncdn.com/i/teamlogos/ncaa/500/426.png,#null,
University of Rio Grande,Urg,,,,#null,
University of Rochester (NY),Yellow Jackets,ROC,Liberty League,http://a.espncdn.com/i/teamlogos/ncaa/500/184.png,#null,
University Of St Francis IN,Cougars,SBP,,http://a.espncdn.com/i/teamlogos/ncaa/500/2831.png,#null,
UNLV,Rebels,UNLV,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,#b10202,
Upper Iowa University,Peacocks,UPPERIOWA,Great Lakes,http://a.espncdn.com/i/teamlogos/ncaa/500/389.png,#null,
Urbana,Blue Knights,URB,,http://a.espncdn.com/i/teamlogos/ncaa/500/2666.png,#000000,
Ursinus,Bears,URS,Centennial,http://a.espncdn.com/i/teamlogos/ncaa/500/2667.png,#98012e,
USC,Trojans,USC,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png,#9e2237,
Utah,Utes,UTAH,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png,#ea002a,
Utah State,Aggies,USU,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png,#00263a,
Utah Tech,Trailblazers,UTU,UAC,http://a.espncdn.com/i/teamlogos/ncaa/500/3101.png,#null,
UTEP,Miners,UTEP,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,#ff8200,
Utica,Pioneers,UTICA,Empire 8,http://a.espncdn.com/i/teamlogos/ncaa/500/390.png,#null,
UT Martin,Skyhawks,UTM,Big South-OVC,http://a.espncdn.com/i/teamlogos/ncaa/500/2630.png,#FF6700,
UT Permian Basin,Falcons,TXPBAS,Lone Star,,#null,
UT Rio Grande Valley,Vaqueros,RGV,Southland,,#null,
UT-Rio Grande Valley,,,,,#null,
UT-Rio Grande Valley (Do not use),,,,,#null,
UTSA,Roadrunners,UTSA,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,#002A5C,
UVA Wise,Cavaliers,VIRWISE,South Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/2842.png,#e30000,
Valdosta State,Blazers,VAL,Gulf South,http://a.espncdn.com/i/teamlogos/ncaa/500/2673.png,#dd1a32,
Valley City State,Valley City St,VALCST,,http://a.espncdn.com/i/teamlogos/ncaa/500/628.png,#null,
Valparaiso,Beacons,VAL,Pioneer,http://a.espncdn.com/i/teamlogos/ncaa/500/2674.png,#794500,
Vanderbilt,Commodores,VAN,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png,#866d4b,
Villanova,Wildcats,VILL,CAA,http://a.espncdn.com/i/teamlogos/ncaa/500/222.png,#00205b,
