school,mascot,abbreviation,conference,logo,color,alt_color
Central Michigan,Chippewas,CMU,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,#6a0032,
Central Missouri,Mules,CENM,Mid America,http://a.espncdn.com/i/teamlogos/ncaa/500/2118.png,#null,
Central Missouri State,,,,,#null,
Central Oklahoma,Bronchos,CENO,Mid America,http://a.espncdn.com/i/teamlogos/ncaa/500/2122.png,#null,
Central State (OH),Marauders,CEN,SIAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2119.png,#null,
Central Washington,Wildcats,CENTWASH,Lone Star,http://a.espncdn.com/i/teamlogos/ncaa/500/2120.png,#null,
Centre College Kentucky,Colonels,CENTRE,Southern Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2121.png,#null,
Cerritos College,,,,,#null,
Chadron St,Eagles,CHADRONST,Rocky Mountain,http://a.espncdn.com/i/teamlogos/ncaa/500/2123.png,#null,
Chapman,Panthers,CHA,So. Cal.,http://a.espncdn.com/i/teamlogos/ncaa/500/411.png,#ab1d38,
Charleston Southern,Buccaneers,CHSO,Big South-OVC,http://a.espncdn.com/i/teamlogos/ncaa/500/2127.png,#2e3192,
Charlotte,49ers,CLT,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,#046A38,
Charlotte,Saints,COLLE,,http://a.espncdn.com/i/teamlogos/ncaa/500/3253.png,#null,
Chattanooga,Mocs,UTC,Southern,http://a.espncdn.com/i/teamlogos/ncaa/500/236.png,#00386b,
Cheyney,Wolves,CHE,Pennsylvania State Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2129.png,#000000,
Chicago,Maroons,CHI,Midwest,http://a.espncdn.com/i/teamlogos/ncaa/500/80.png,#null,
Christopher Newport,Captains,CHR,New Jersey,http://a.espncdn.com/i/teamlogos/ncaa/500/3112.png,#null,
Cincinnati,Bearcats,CIN,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,#E00122,
Cincinnati Christian,Eagles,CNCU,,,#null,
Cisco College,,,,,#null,
City College of San Francisco,,,,,#null,
Claremont-Mudd-Scripps College,Stags,CLA,So. Cal.,http://a.espncdn.com/i/teamlogos/ncaa/500/17.png,#981a31,
Clarion,Golden Eagles,CLARION,Pennsylvania State Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2134.png,#null,
Clark Atlanta,Panthers,CLA,SIAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2805.png,#null,
Clemson,Tigers,CLEM,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png,#f56600,
Coastal Carolina,Chanticleers,CCU,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/324.png,#007073,
Coast Guard,Bears,USCGA,NEWMAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2557.png,#null,
Coe College,Kohawks,COE,American Rivers,http://a.espncdn.com/i/teamlogos/ncaa/500/2141.png,#881922,
Coffeyville C.C.,,,,,#null,
Colby College,White Mules,COLBY,NESCAC,http://a.espncdn.com/i/teamlogos/ncaa/500/33.png,#012778,
Cole College,Jaguars,COLE,,,#null,
Colgate,Raiders,COLG,Patriot,http://a.espncdn.com/i/teamlogos/ncaa/500/2142.png,#821019,
College of Charleston,,,,,#null,
College of Idaho,Yotes,COI,,,#null,
College Of New Jersey,Lions,COL,New Jersey,http://a.espncdn.com/i/teamlogos/ncaa/500/2442.png,#154c7d,
College of San Mateo,,,,,#null,
College of the Canyons,,,,,#null,
Colorado,Buffaloes,COLO,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/38.png,#CFB87C,
Colorado College,Tigers,COL,,http://a.espncdn.com/i/teamlogos/ncaa/500/2144.png,#000000,
Colorado Mesa,Mavericks,MESA,Rocky Mountain,http://a.espncdn.com/i/teamlogos/ncaa/500/11.png,#null,
Colorado School Of Mines,Orediggers,COLOMINES,Rocky Mountain,http://a.espncdn.com/i/teamlogos/ncaa/500/2146.png,#null,
Colorado State,Rams,CSU,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/36.png,#1e4d2b,
Columbia,Lions,COLU,Ivy,http://a.espncdn.com/i/teamlogos/ncaa/500/171.png,#174785,
Columbus State,Colust,,,,#null,
Concordia (AL),Hornets,CON,,http://a.espncdn.com/i/teamlogos/ncaa/500/3099.png,#null,
Concordia-Michigan,Cardinals,CONCMI,,http://a.espncdn.com/i/teamlogos/ncaa/500/2985.png,#null,
